Device,ReviewText,SubmissionTime,Title,UserNickname
Samsung Galaxy s40,"The S7 is much faster and better megapixels on the camera than my previous S5. Love it! Still has the swipe feature... excellent! Upgrades are great.. fingerprint password, microphone placement,  no more cover for the charging cord.",4/2/2017,The 7 is an upgrade from the 5,pandamama
Samsung Galaxy s41,"Nice sleek phone with many features .     Great,camera and like the visual voice plan. Love the gold color...very classy",4/2/2017,Like the light weight feel.   Like the always on display feature. Luke the size of the screen.,J bird
Samsung Galaxy s42,"This phone is very easy to use...I am not good with technology, but I'm pleased with everything so far...There's a couple questions I have but I will go inside the store for help...I'm extremely pleased thus far!",4/1/2017,It was an easy transition.,Samifc
Samsung Galaxy s43,"Outstanding performance.  Loads all need apps with no difficulty. Great 4G reception.
!!!!!!!!!!!!!!!",3/31/2017,Great Phone,Davpatjoe84
Samsung Galaxy s44,Great Phone and Great Service from Verizon in East Hanover.  I highly recommend both!   Will definitely buy from the again,3/31/2017,Great Phone,Steve07052
Samsung Galaxy s45,New phone so far works great .still too new to see if any problems. Do like it so far . would recommend,3/31/2017,Great phone,Jenn B
Samsung Galaxy s46,No complaints so far.  Still learning. Meets or exceeds my expectations.  Takes a beating and keeps on running.,3/31/2017,Love the camera! the phone has been fairly easy to learn new stuff.,Athram
Samsung Galaxy s47,"This phone is great. It is sleek, not too big and bulky.It has a great camera which was an important factor for me. System updates, I still have to figure out all its features.",3/31/2017,Great features! Easy transition from another carrier,be159
Samsung Galaxy s48,I find it uses more GB faster then my previous phone. I've had to add more GB within 1 week of purchase. Much happier with battery life.,3/31/2017,Very easy to use.,Carol2017
Samsung Galaxy s49,Verizon wireless is a great company with great coverage. My husband drives for a living and goes through some rough coverage areas and we can still talk somewhat clearly,3/31/2017,Its easy to use,Cady764
Samsung Galaxy s50,"I was one of about five people in the world still using a Nokia Windows phone -- I really liked that phone.  Phones have come a long way in 4 years.  I don't want to really find out, but I am glad it is water resistant.",3/31/2017,Pretty Easy Transition,pogo 2
Samsung Galaxy s51,"Love the phone especially since my Galaxy S6 took a lot of abuse from dropping the phone, etc. Very easy transition to the S7. Camera is excellent, plus the ability to expand the storage with a micro SD card is a nice feature.",3/31/2017,Easy upgrade from my Galaxy S6,htxtreme
Samsung Galaxy s52,The phone is aesthetically pleasing. It is very user friendly. I only wish the battery lasted longer.,3/31/2017,Love it!,Beautiful phone
Samsung Galaxy s53,"I am a late adopter, updating from an S3 Mini. I love the added features and speed. It was an easy transition to switch phones with all the additions being intuitive and easy to discover. I am still discovering and delighted when I find another feature that makes life easier.",3/31/2017,should have done this sooner,vivianpaints
Samsung Galaxy s54,I previously used a Galaxy 4 so this was easy to learn and use right away. The camera is a thousand times better than the G4.,3/31/2017,Very satisfied customer,Shar64
Samsung Galaxy s55,"I love the battery life,camera,storage,and Verizon network. Since I got a new phone it seem like my connection got even better.",3/30/2017,Great phone. I love it,Ray0207
Samsung Galaxy s56,I like all the features that i can use as in the colorful backgrounds of texts.  very easy to use.  i like that the phone is very slim not heavy.  so many new things that im finding just exploring the phone,3/30/2017,"its easy to use,  i had the galaxy s3. and its almost set up the same so very easy",Pinero
Samsung Galaxy s57,Works great and fast and meets my satisfaction. O always been a Samsung fan and this is by far my favorite product,3/30/2017,Review,Jah13
Samsung Galaxy s58,Love the fingerprint and love the screen and love that I can do different themes on it and then virtual reality is amazing on it,3/30/2017,I love my s7,Meighanb27
Samsung Galaxy s59,Phone has a lot of great features..camera..easy to use once you get to know the phone. The only option I don't have is adding a picture from the text window..you have to go to gallery. Then pick one to send.,3/30/2017,Excellent phone galaxy s7,Butters65
Samsung Galaxy s60,I just received my Galaxy S 7 yesterday. Upgraded from a HTC 9. Which I hated from day one. So far I'm loving it. So much more clearer and takes great pictures. So far so good!!!,3/29/2017,Great phone! Loving it so far.,Rocksters88
Samsung Galaxy s61,Have always been pleased with my service and Reliability. When I lost my job Verizon always helped me with pmt arrangements.,3/29/2017,Customer,VikingFan1
Samsung Galaxy s62,"It was easy to set up and use all of the features.  Using the camera is much easier than my previous phone. Many of the features were the same as my old phone, but with many improvements. I would like it if music could be easily shared from my laptop computer files, but no phone today can do that.",3/29/2017,Enjoy the phone--easy to use.,jkgrinch
Samsung Galaxy s63,"This phone is like other Android devices, easy to use and wasnt hard to switch brands.  The camera is a lot better than I expected which is a huge plus.",3/29/2017,Easy to use,EMTME22
Samsung Galaxy s64,"Needed a good camera to take pictures of snakes. I don't have a home phone, so I need a reliable cell phone.",3/28/2017,Great camera.,KATWIL55P
Samsung Galaxy s65,"This phone is even better than my last Samsung.  Much more responsive, much better graphics, easier to use.  Wider and stronger and I can take it out in the rain!!!",3/28/2017,quick and responsive,Bogie3
Samsung Galaxy s66,Great phone! Love the service with Verizon.. Much better than previous carrier. Also I was very surprised to find out that customer support technicians are actually based here in the US and not oversees. Big plus. Thanks,3/28/2017,New Galaxy S7,Nixkin
Samsung Galaxy s67,Really liked my galaxy S5 phone and the Galaxy S7 was a great transition phone for a newer phone. Does everything as my S5 with similar setup but better hardware and great phone.,3/27/2017,Great Transition from Galaxy S5 to S7,Kov33
Samsung Galaxy s68,"I upgraded to the s7 after having the Core Prime for about a year and half. The transition couldn't have been any easier, and I am happy to have a great quality phone with plenty of room for the apps I need. I am planning to get a 128 gb memory card so that I can put all of my music, podcasts, and audiobooks on the phone too. The price was a bit daunting, but if this phone lasts 3 years, I can justify the price.",3/27/2017,"My first ""real"" smartphone",HelenaR
Samsung Galaxy s69,"I liked my old phone, a Droid Turbo 2 better from the start, but I hope this phone's battery will last more than 1 year. It's a good phone, I just really loved my motorola phones and the galaxy is a bit different.",3/27/2017,It's good,Ren8675309
Samsung Galaxy s70,Love all about it> Everything is is easy to use and understand . Functions are user friendly. Great phone,3/27/2017,Lou Review,Lou phone
Samsung Galaxy s71,Kissed my iPhone 5c goodbye and never looked back. I'm enjoying a bigger screen and better camera. So nice.,3/27/2017,Love,Pietcrew
Samsung Galaxy s72,Phone has a lot of nice features that make it a good upgrade from my Galaxy S4.  Battery life is better and the camera is great.,3/27/2017,Great upgrade from my Galaxy S4,Bob902
Samsung Galaxy s73,Super glad i made the switch. I love the new phone and new service. Too many years paying too much! Love the customer service as well.,3/26/2017,Awesome phone! love it!,why need a nickname
Samsung Galaxy s74,"Easy to use ,very handy,good features, great size ,beautiful pictures, a large storage, waterproof,great phone.",3/26/2017,Perfect size,Perez26
Samsung Galaxy s75,Was very happy that everything that I actually wanted to keep on my old phone transferred so easy to the new one. AWESOME pictures as well!!!,3/26/2017,"An easy switch, no regrets",SparkleNDiva
Samsung Galaxy s76,Great features and Beautiful too! Love the camera and battery life is great. Would recomend this phone to everyone.,3/26/2017,Great features and Beautiful too!,juturna4
Samsung Galaxy s77,"My wife absolutely loves her new phone and is very happy with it.No complaints at
all. A great product.",3/27/2017,Great features. My wife loves it!,bab1951
Samsung Galaxy s78,Sharp HD videos from internet sites. light weight. Great camera. good battery life. Quick charge. Beautiful videos.,3/25/2017,Excellent phone,Leroy K
Samsung Galaxy s79,"The phone is easy to handle and it has great features , I talk and text , a lot, so it serves my purpose.",3/23/2017,"great customer service , love the phone.",silky smooth
Samsung Galaxy s80,"To whom it may concern,
        The Galaxy S7 is a great new phone with many features that I love. 
                                                        Have a great day,
                                                                                     Glassh3art.",3/25/2017,This is a great new phone.,Glassh3art
Samsung Galaxy s81,I am so happy with my new Samsung Galaxy S7 and the Verizon service. The features are convenient and easy to use. This phone is everything it was advertised and then some!,3/23/2017,I love my new phone,S7 User
Samsung Galaxy s82,Awesome phone love the lighting fast speed and camera. Makes the work i do much easier and faster. Much love. Have know video or pictures i want to share at this time.,3/23/2017,Much improved over my old phone,Cummins power
Samsung Galaxy s83,"Great phone, no problems at the present.Check back with me in a couple of months to see if there is any change.",3/23/2017,"Great phone, features and all.",1rile
Samsung Galaxy s84,"I had had the S4 before getting a new phone, to say I needed and update is an understatement! One of my favorite features is definitely the wireless charging, even through my Otterbox case. Plus, when I called to activate it, customer service champ Eric reviewed my plan and updated me to the Verizon 5 gigs rollover data plan. The phone calls are crystal clear and the video quality is incredible (not a professional though, can't speak to that expertise). Loving it!",3/23/2017,Love this new phone!,Artemis241
Samsung Galaxy s85,"This Galaxy 7 is by far and away this the easiest cell phone I have ever owned and/or operated.   The features are terrific, the functionality is great and overall I am delighted with my experience so far.",3/24/2017,Myphone,theowl1
Samsung Galaxy s86,"Great phone! Does what I need, so far, much better than what I had before. I like it a lot! Glad I switched!",3/22/2017,I like my new phone!,LB in HPT
Samsung Galaxy s87,Purchased a LG G4 18 mos. ago and It died prematurely. Opted for the S7 and very happy. Unlike the G4 this phone runs all day on a charge and performs flawlessly. Can't ask for much more.,3/22/2017,Back to a Great Brand,Nocreek
Samsung Galaxy s88,"Phone is great, fast, with good battery life. Camera is amazing, and audio is clear. Very happy with the S7",3/22/2017,Samsung S7,David726
Samsung Galaxy s89,Very happy so far. The phone was not meant to be my PDA and I don't waste my life on it but it was easy to get use to it after turning in a S3.People...please turn your used phones and request that they are recycled for victims of domestic violence!!,3/22/2017,Samsung Galaxy S7,Djrandall9
Samsung Galaxy s90,I love my new phone. I get service everywhere and it's perfect for me.  Picture quality is amazing.  I highly recommend it,3/22/2017,I love my new phone is perfect,Ceairah
Samsung Galaxy s91,"I would prefer a review after the first 2 payments at least. I am satisfied with the product I've purchased but the service, I need a little bit of more time to have a recommendation for others.",3/22/2017,I have just started.,Hpoialii
Samsung Galaxy s92,I love my new phone and the service that comes with Verizon.  The transition to a new phone was for the most part seamless.,3/22/2017,Love me new phone,Freddie489
Samsung Galaxy s93,"I had a Droid Maxx before and liked it. It was my first smart phone. Had it for two years. I'm 60 years old. I like this new phone much more. Better camera, lots of storage, more features. I'm not super techie. But I do know my way around technology and I would recommend this phone.",3/20/2017,S7,Capt Tom
Samsung Galaxy s94,"I prefer my phones not too large and not too small and the Galaxy S7 is a happy medium when it comes to screen size. The battery life and camera are both top notch. Internal storage seems average given other options on the market, but the memory is expandable via SD card.The shape and texture of the phone is glossy and slightly rounded which is nice in the hand, but the design does lend to the phone slipping off furniture sometimes. I don't normally put a case on my phone, but in this case I found it necessary.",3/20/2017,Excellent hardware,cmucodemonkey10
Samsung Galaxy s95,It does everything I expect. It is easier to use than the mini droid I was using. Now all I have to do is figure out what all it can do. If I can't figure it out I will make contact or check on website.,3/20/2017,"Good features and expecially battery life.  Stays charged for two days or longer, depending how I'm using it.",Joel64
Samsung Galaxy s96,"I use this phone for my work - texting, google maps, internet, etc.  Work and I do alot of texting back and forth.",3/20/2017,Easy to use.  Just like my old phone.,Sarah57
Samsung Galaxy s97,"Loving my new phone, the camera takes awesome pictures. I also really like the finger print sign in. Over all I'm  enjoying my new phone.",3/20/2017,Does everything as advertised and more,JenniZ
Samsung Galaxy s98,"I have had nothing but iPhones for many yeats, so the transition over to an android was a huge step for me. I was amazed at how easy to use this phone really is. The apps are easy to locate and download. The storage is huge and the camera is crystal clear. I am still in awe and have shown all of my iPhone using friends how fast and easy this phone is. I'm hooked forever!!",3/20/2017,This phone is so easy to use. I absolutely love it and highly recommend this phone to everyone.,Terri Bug
Samsung Galaxy s99,Excellent service and I have no been with Verizon long enough to determine if my satisfaction will continue.  Hope I will continue to receive good service and will enjoy our relationship for years to come.,3/20/2017,"Great features, and long battery life.",skeeter14
Samsung Galaxy s100,My son loves his new phone. He's very glad to have a phone that works. Thank you for great customer service!,3/20/2017,Great,Kawilcoxes
Samsung Galaxy s101,I like fact that you can chose to let members of group conversation see responses. Like when I delete e=mails on phone it deletes from my computer.  Old phone didn't do that.,3/20/2017,New Galaxy Phone,karenk2208
Samsung Galaxy s102,Very easy to use I've only had this phone a few weeks  but the ease of use after owning the S5 for years... upgrading was definitely to my advantage,3/20/2017,Great Phone,VILI60
Samsung Galaxy s103,"a big upgrade for me and im completely satisfied with. phone is very fast, plenty of awesome features with a good design. waterproof.",3/20/2017,very fast and nice features,abrooks92
Samsung Galaxy s104,I really love this phone it's fast and the picture on it is so clear the processing on it is very fast.,3/20/2017,Awesome phone,mrstoneman2013
Samsung Galaxy s105,"Easy, light, and just the right size to handle. Apps are quick to load and easy to find on pages. The color selection is also a positive for those who don't want just a black phone.",3/19/2017,Very easy to operate. Only a few system apps were installed. Great phone!!,bert1125
Samsung Galaxy s106,"I love all the new features it has and so more up to date then my old one , I like the new style easy to hold in your hand and also takes beautiful pictures .",3/19/2017,Love my new s7 phone,iih2trouble
Samsung Galaxy s107,Samsung has gone above and beyond other phones.  They can not compete with Samsung. Easy to understand and easily communicates/integrates with other operating systems.,3/20/2017,Easy transition because rep transferred everything over.  This is big in my book.,datennant
Samsung Galaxy s108,"The Galaxy S7 was a perfect upgrade from my previous phone, a Galaxy S4.  The operating system is easy to navigate and similar enough to the previous versions that it was not hard to adjust to at all. And the battery life is so much better!!",3/17/2017,Great upgrade!,Jules8613
Samsung Galaxy s109,The phone and video is great. The phone is fast. The sound is clear. It is a great phone. I love it and how it works!!!,3/17/2017,Love it!,Chinaluv
Samsung Galaxy s110,I love everything about my new Samsung Galaxy S7. It's a good phone with great features. I like the sleek design of the phone.,3/20/2017,Great phone,missprettyncurvy
Samsung Galaxy s111,"Sill getting to know the phone but I am very impressed thusfar.  Just transitioned to Nougat, no manual available yet, so learning as I go.",3/17/2017,Getting to know Nougat,johnny lu
Samsung Galaxy s112,My friends told me I would regret waiting so long to upgrade...now I know they were right. I love the phone...all aspects and features.,3/17/2017,My New Galaxy 7,Poohbear54
Samsung Galaxy s113,"I've had the phone about 2 weeks now, and I'm very happy that I went with this phone. The colors are sharp. The battery lasts all day, even when traveling and using it.  The Gold color is gorgeous! It was VERY simple to transfer all of my old phone to this one, even with switching carriers, I was extremely impressed with that part. I had considered the Edge, but went with this one because I can be a tad clumsy and I'm glad that I did because I've already dropped this one and not caused any damage to it. I have a simple case for it (because it matches the phone) and the InvisiGlass(?) front screen cover, but that's it. Overall, this is an awesome phone!",3/17/2017,Definitely worth the money,MsSoftailDC
Samsung Galaxy s114,My grandaughter talked me into getting this phone and I really glad she did. I'm still learning how to use it but I love it.,3/17/2017,Best purchase ever,Hopefully
Samsung Galaxy s115,I like Samsung products much more than my previous product. This phone is fast and doesn't lag in any way. Perfect for what I use it for.,3/17/2017,Good product,Brendiann14
Samsung Galaxy s116,"love the phone, works great, looks terrific.  Way better than the phone I had before and I liked it a lot.",3/17/2017,S&,S7 in Missouri
Samsung Galaxy s117,I have tried other carriers I have tried other phones I've been with Verizon 12 years they have always been there and I will continue with Verizon and Samsung phones,3/17/2017,I finally found a phone that my wife likes and can operate,RHickey
Samsung Galaxy s118,Much brighter and clearer screen. Camera is a big step up to my old S5 phone news. Well worth price of the upgrade.,3/17/2017,Best phone I have ever owned,R937
Samsung Galaxy s119,"It has a bigger screen than the s6 edge. The screen quality is much better, more crisp. Pictures are wonderful! And I don't have to worry about accidentally spilling anything on it where it's waterproof! So far so good!!",3/17/2017,Love this phone!,Guessn girl
Samsung Galaxy s120,"Still learning how to use it, not sure I'll ever use it to it's full capacity. It seems intuitive, fairly easy to work through the process when using a new feature. As time goes it should become a more comfortable tool.",3/17/2017,My first smartphone.,701Rick
Samsung Galaxy s121,Galaxy s7 has many good features. Ease of use is good. Photos are great. Takes time to learn all the things it can do and to set every up the way you want it. Worth the time.,3/17/2017,New s7,MooseheadMacMick
Samsung Galaxy s122,Easy to use and set up. Beautiful graphics. I'd have preferred a smaller size but this one fits in my pocket without much trouble.,3/17/2017,Great phone,Jaybobma
Samsung Galaxy s123,"I like that I no longer have to bring along my tablet. My new phone phone has all the features I need, and then some.  I'm sure I will be learning about all it's features for quite some time.",3/17/2017,Easy to transition from old phone to Galaxy S7,lindazerbian
Samsung Galaxy s124,"Best choice for a phone for the money . Good screen,great sound the best phone I have ever had service is great",3/17/2017,Love it,Mfondren67
Samsung Galaxy s125,I love the galaxy s-7 It's really easy to use products line for it is good and there is alot of different things available to use,3/17/2017,Easy to use,Dlbuu
Samsung Galaxy s126,No problems. Works as expected. Easy to use if you're used to the Samsung devices. Comes in gold and white options. Good memory space.,3/17/2017,Great phone!,Adshep829
Samsung Galaxy s127,The phone is a improvement from 6-'s Sam Sung. Battery life good. Fun phone. I like using camera for dj events.,3/17/2017,Great phone,Karaoke DJ
Samsung Galaxy s128,I upgraded from a really old galaxy s2 and I knew anything I got would be better. I'm glad Verizon has a new plan so my bill ended up the same with the new phone payments and insurance.  Only thing I don't like is the sim and SD card loading tray.,3/17/2017,Fast easy and practical phone!,Tmarie17
Samsung Galaxy s129,I haven't had enough time yet to learn all the features.  The features I have used were easy to transition from my old galazy 4,3/17/2017,Was an easy transition from my old phone,steffyz
Samsung Galaxy s130,I am impressed with the various facilities afforded by this phone. That includes the battery life and camera.,3/17/2017,Samsung Galaxy S 7,Galaxyuser02
Samsung Galaxy s131,"So far, I love this phone. The battery life is so much better than the s5, which is what I had before.",3/17/2017,Galaxy s7,Spry1234
Samsung Galaxy s132,"Easy to use, ease of transition from old phone since we were using a Samsung S4 and ungraded to a S7. The new software is extremely fast.",3/17/2017,Easy to use,Armstrongman
Samsung Galaxy s133,"This phone does a lot of things, a bunch of things I probably don't even know about yet. Go s7!!!!!!",3/17/2017,Awesome phone,Nette621
Samsung Galaxy s134,It's got alot of fantastic features. Love the quality. Would love to learn more about what other features it offers..,3/17/2017,Love how easy it is to use.,LorasLee443
Samsung Galaxy s135,"This phone is a little smaller than the S5 & I am not a fan of the slight curve to the phone's edge, but every other feature is excellent.  I thought my old phone took good pictures but this one is outstanding!  The battery life is much better!",3/17/2017,Love Galaxy S7,Gallivant4
Samsung Galaxy s136,"This phone is easy to use and has some upgrades from my s6 like email functions, which are important since I am a manager and use my phone a lot for my job. I love it",3/17/2017,Great phone & easy to use !,BiggDDenny
Samsung Galaxy s137,"I needed to replace my Galaxy S4, due to lots of redundant issues. I narrowed my choices to The S7, Google's Pixel and an I phone 7. I am so glad i made the choice i did. Everything is really good on the S7, especially the camera. I have problems holding my phone still due to shakiness. Even when I zoom in to 8x the picture is very steady.",3/17/2017,Great additional internal storeage,jethro 1
Samsung Galaxy s138,"I cannot put enough words to describe my love for the phone. To make it easier I'll list my only one complaint. Battery life...but beyond that, the phone is amazing!",3/17/2017,What's there not to like?!,Michaelspackman
Samsung Galaxy s139,Good live my new phone  price was good fast on line pictures show well need to receive something free,3/17/2017,Phone,Leon 2834
Samsung Galaxy s140,"I would recommend Verizon. Great customer care, fair prices. Easy to work with. The two main things I look for as a customer are excellent customer care and affordable prices. Those are the two main qualities I look for when choosing to do business with any company and Verizon has them in abundance. Very proud to be a new Verizon customer.",3/17/2017,Fabulous phone that is easy to use!,elyse449
Samsung Galaxy s141,"My new S7 is faster and smoother than my beloved S5. I ride my mobile devices into the ground and traded in my S5 only when it started heating up at inconvenient times, such as when my wife is trying to reach me. Anyway, I love the S7 so far. Using it is effortless.",3/17/2017,Faster and smoother than my beloved S5.,craig720
Samsung Galaxy s142,"Everything I hoped it would be. The size of the phone,the weight and sound is great. I feel this phone is a great value.",3/17/2017,wonderful!!!,Momma Mobile
Samsung Galaxy s143,"My phone does much more than you last android as well as look better, the screen itself was a hazard. But overall I am enjoying  this product  and look forward to the great customer service that I have not been receiving  from my last service provider.",3/17/2017,I love my phone,Suki23
Samsung Galaxy s144,I love my phone ! Way better service then other companies in my area.  Friendly staff and fast service,3/17/2017,S7,EliV
Samsung Galaxy s145,I enjoy this product a lot wish it was a little bigger and had it's own stylist. I enjoy that the phone is so smart.,3/17/2017,Samsung Galaxy s7,Sj35
Samsung Galaxy s146,Nice Phone....sleek and easy to use.  Had no problem transferring data from old phone.   I would recommend this phone to all my friends and family.  It serves my needs,3/17/2017,Nice Phone Samsung G7,LLesherphone
Samsung Galaxy s147,"very well built phone top of the line, fast and snappy, easy to navigate, like apps and the health app is awesome",3/17/2017,easy to use fast and snappy,MrCyber
Samsung Galaxy s148,"So far it has been easy to use, A little getting used to coming from the Samsung Convoy flip phone. But was fairly adept to is in just a couple of hours. If it holds up as well as the Convoy, then all should be good.",3/17/2017,Was an easy transition.,Dynarider03
Samsung Galaxy s149,I love it. Amazing camera. Clear calls. Really fast and smooth for gaming. Mostly use it for Pokémon go and it works perfect,3/17/2017,Great,Khicks2323
Samsung Galaxy s150,"I've had good customer service with Verizon, my service is usually good. They are a bit expensive that's the downside.",3/17/2017,Easy transition!,Schl14
Samsung Galaxy s151,It's a good phone. ............................................................ what more can I say?,3/17/2017,What?,Mattttttt
Samsung Galaxy s152,I was pleasantly surprised how easy it was setup. This Samsung Galaxy 7 phone is by far the best phone I've had.,3/17/2017,"Real fast, easy to setup!",Emarks19
Samsung Galaxy s153,Great phone. Great battery life and recharge. Was able to learn the function of the phone without difficulty.,3/17/2017,Great phone. Easy to fine apps and use.,mysamsung7
Samsung Galaxy s154,Very good quality on the phone. Works well at work and keeps a good charge. Process speed is extremely well.,3/17/2017,S7,Kodi_rumble
